
#DISTRICT,CITY/TEHSIL,DIVISION,PROVINCE,NA#,PA#
#BALOCHISTAN

ZHOB,SHERANI,ZHOB,BALOCHISTAN,NA-251,PB-1
ZHOB,ZHOB,ZHOB,BALOCHISTAN,NA-251,PB-2
KILLA SAIFULLAH,KILLA SAIFULLAH,KILLA SAIFULLAH,BALOCHISTAN,NA-251,PB-3
MUSAKHEL,MUSAKHEL,MUSAKHEL,BALOCHISTAN,NA-252,PB-4
BARKHAN,BARKHAN,BARKHAN,BALOCHISTAN,NA-252,PB-4
LORALAI,LORALAI,LORALAI,BALOCHISTAN,NA-252,PB-5
DUKKI,DUKKI,DUKKI,BALOCHISTAN,NA-252,PB-6
HARNAI,ZIARAT,HARNAI,BALOCHISTAN,NA-253,PB-7
HARNAI,HARNAI,HARNAI,BALOCHISTAN,NA-253,PB-7
SIBI,SIBI,SIBI,BALOCHISTAN,NA-253,PB-8
KOHLU,KOHLU,KOHLU,BALOCHISTAN,NA-253,PB-9
DERA BUGTI,DERA BUGTI,DERA BUGTI,BALOCHISTAN,NA-253,PB-10
JHAL MAGSI,JHAL MAGSI,JHAL MAGSI,BALOCHISTAN,NA-254,PB-11
KACHHI,KACHHI,KACHHI,BALOCHISTAN,NA-254,PB-12
NASIRABAD,NASIRABAD-I,NASIRABAD,BALOCHISTAN,NA-254,PB-13
NASIRABAD,NASIRABAD-II,NASIRABAD,BALOCHISTAN,NA-254,PB-14
SOHBATPUR,SOHBATPUR,SOHBATPUR,BALOCHISTAN,NA-255,PB-15
JAFFARABAD,JAFFARABAD,JAFFARABAD,BALOCHISTAN,NA-255,PB-16
USTA MUHAMMAD,USTA MUHAMMAD,USTA MUHAMMAD,BALOCHISTAN,NA-255,PB-17
KHUZDAR,KHUZDAR-I,KHUZDAR,BALOCHISTAN,NA-256,PB-18
KHUZDAR,KHUZDAR-II,KHUZDAR,BALOCHISTAN,NA-256,PB-19
KHUZDAR,KHUZDAR-III,KHUZDAR,BALOCHISTAN,NA-256,PB-20
LASBELA,HUB,LASBELA,BALOCHISTAN,NA-257,PB-21
LASBELA,LASBELA,LASBELA,BALOCHISTAN,NA-257,PB-22
AWARAN,AWARAN,AWARAN,BALOCHISTAN,NA-257,PB-23
KECH,GWAADAR,KECH,BALOCHISTAN,NA-258,PB-24
KECH,KECH-I,KECH,BALOCHISTAN,NA-258,PB-25
KECH,KECH-II,KECH,BALOCHISTAN,NA-259,PB-26
KECH,KECH-III,KECH,BALOCHISTAN,NA-259,PB-27
KECH,KECH-IV,KECH,BALOCHISTAN,NA-259,PB-28
PANJGUR,PANJGUR-I,PANJGUR,BALOCHISTAN,NA-258,PB-29
PANJGUR,PANJGUR-II,PANJGUR,BALOCHISTAN,NA-258,PB-30
CHAGAI,WASHUK,CHAGAI,BALOCHISTAN,NA-260,PB-31
CHAGAI,CHAGAI,CHAGAI,BALOCHISTAN,NA-260,PB-32
KHARAN,KHARAN,KHARAN,BALOCHISTAN,NA-260,PB-33
NUSHKI,NUSHKI,NUSHKI,BALOCHISTAN,NA-260,PB-34
KALAT,SURAB,KALAT,BALOCHISTAN,NA-261,PB-35
KALAT,KALAT,KALAT,BALOCHISTAN,NA-261,PB-36
MASTUNG,MASTUNG,MASTUNG,BALOCHISTAN,NA-261,PB-37
QUETTA,QUETTA-I,QUETTA,BALOCHISTAN,NA-262,PB-38
QUETTA,QUETTA-II,QUETTA,BALOCHISTAN,NA-263,PB-39
QUETTA,QUETTA-III,QUETTA,BALOCHISTAN,NA-264,PB-40
QUETTA,QUETTA-IV,QUETTA,BALOCHISTAN,NA-264,PB-41
QUETTA,QUETTA-V,QUETTA,BALOCHISTAN,NA-264,PB-42
QUETTA,QUETTA-VI,QUETTA,BALOCHISTAN,NA-264,PB-43
QUETTA,QUETTA-VII,QUETTA,BALOCHISTAN,NA-264,PB-44
QUETTA,QUETTA-VIII,QUETTA,BALOCHISTAN,NA-264,PB-45
PISHIN,PISHIN CUM KAREZAT,PISHIN,BALOCHISTAN,NA-265,PB-46
PISHIN,PISHIN-I,PISHIN,BALOCHISTAN,NA-265,PB-47
PISHIN,PISHIN-II,PISHIN,BALOCHISTAN,NA-265,PB-48
PISHIN,PISHIN-III,PISHIN,BALOCHISTAN,NA-265,PB-49
KILLA ABDULLAH,KILLA ABDULLAH,KILLA ABDULLAH,BALOCHISTAN,NA-266,PB-50
KILLA ABDULLAH,CHAMAN,KILLA ABDULLAH,BALOCHISTAN,NA-266,PB-51



#KPK

UPPER CHITRAL-CUM-LOWER CHITRAL,UPPER CHITRAL-CUM-LOWER CHITRAL,MALAKAND,KHYBER PAKHTUNKHWA,NA-1,PK-1
UPPER CHITRAL-CUM-LOWER CHITRAL,UPPER CHITRAL-CUM-LOWER CHITRAL,MALAKAND,KHYBER PAKHTUNKHWA,NA-1,PK-2
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-2,PK-3
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-2,PK-4
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-2,PK-5
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-3,PK-6
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-3,PK-7
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-4,PK-8
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-4,PK-9
UPPER DIR,UPPER DIR,MALAKAND,KHYBER PAKHTUNKHWA,NA-5,PK-10
UPPER DIR,UPPER DIR,MALAKAND,KHYBER PAKHTUNKHWA,NA-5,PK-11
LOWER DIR,LOWER DIR,MALAKAND,KHYBER PAKHTUNKHWA,NA-6,PK-12
LOWER DIR,LOWER DIR,MALAKAND,KHYBER PAKHTUNKHWA,NA-6,PK-13
LOWER DIR,LOWER DIR,MALAKAND,KHYBER PAKHTUNKHWA,NA-7,PK-14
LOWER DIR,LOWER DIR,MALAKAND,KHYBER PAKHTUNKHWA,NA-7,PK-15
BAJAUR,BAJAUR,MALAKAND,KHYBER PAKHTUNKHWA,NA-8,PK-16
BAJAUR,BAJAUR,MALAKAND,KHYBER PAKHTUNKHWA,NA-8,PK-17
MALAKAND,MALAKAND,MALAKAND,KHYBER PAKHTUNKHWA,NA-9,PK-18
MALAKAND,MALAKAND,MALAKAND,KHYBER PAKHTUNKHWA,NA-9,PK-19
BUNER,BUNER,MALAKAND,KHYBER PAKHTUNKHWA,NA-10,PK-20
BUNER,BUNER,MALAKAND,KHYBER PAKHTUNKHWA,NA-10,PK-21
SHANGLA,SHANGLA,MALAKAND,KHYBER PAKHTUNKHWA,NA-11,PK-22
SHANGLA,SHANGLA,MALAKAND,KHYBER PAKHTUNKHWA,NA-11,PK-23
KOHISTAN-CUM-LOWER KOHISTAN-CUM-KOLAI PALAS,KOHISTAN-CUM-LOWER KOHISTAN-CUM-KOLAI PALAS,HAZARA,KHYBER PAKHTUNKHWA,NA-12,PK-24
BATTAGRAM,BATTAGRAM,HAZARA,KHYBER PAKHTUNKHWA,NA-13,PK-25
MANSEHRA,MANSEHRA,HAZARA,KHYBER PAKHTUNKHWA,NA-14,PK-26
MANSEHRA,MANSEHRA,HAZARA,KHYBER PAKHTUNKHWA,NA-14,PK-27
MANSEHRA-CUM-TORGHAR,MANSEHRA-CUM-TORGHAR,HAZARA,KHYBER PAKHTUNKHWA,NA-15,PK-28
MANSEHRA-CUM-TORGHAR,MANSEHRA-CUM-TORGHAR,HAZARA,KHYBER PAKHTUNKHWA,NA-15,PK-29
ABBOTTABAD,ABBOTTABAD,HAZARA,KHYBER PAKHTUNKHWA,NA-16,PK-30
ABBOTTABAD,ABBOTTABAD,HAZARA,KHYBER PAKHTUNKHWA,NA-17,PK-31
ABBOTTABAD,ABBOTTABAD,HAZARA,KHYBER PAKHTUNKHWA,NA-17,PK-32
HARIPUR,HARIPUR,HAZARA,KHYBER PAKHTUNKHWA,NA-18,PK-33
HARIPUR,HARIPUR,HAZARA,KHYBER PAKHTUNKHWA,NA-18,PK-34
SWABI,SWABI,PESHAWAR,KHYBER PAKHTUNKHWA,NA-19,PK-35
SWABI,SWABI,PESHAWAR,KHYBER PAKHTUNKHWA,NA-19,PK-36
SWABI,SWABI,PESHAWAR,KHYBER PAKHTUNKHWA,NA-20,PK-37
SWABI,SWABI,PESHAWAR,KHYBER PAKHTUNKHWA,NA-20,PK-38
MARDAN,MARDAN,PESHAWAR,KHYBER PAKHTUNKHWA,NA-21,PK-39
MARDAN,MARDAN,PESHAWAR,KHYBER PAKHTUNKHWA,NA-21,PK-40
MARDAN,MARDAN,PESHAWAR,KHYBER PAKHTUNKHWA,NA-22,PK-41
MARDAN,MARDAN,PESHAWAR,KHYBER PAKHTUNKHWA,NA-22,PK-42
CHARSADDA,CHARSADDA,PESHAWAR,KHYBER PAKHTUNKHWA,NA-23,PK-43
CHARSADDA,CHARSADDA,PESHAWAR,KHYBER PAKHTUNKHWA,NA-23,PK-44
CHARSADDA,CHARSADDA,PESHAWAR,KHYBER PAKHTUNKHWA,NA-24,PK-45
CHARSADDA,CHARSADDA,PESHAWAR,KHYBER PAKHTUNKHWA,NA-24,PK-46
NOWSHERA,NOWSHERA,PESHAWAR,KHYBER PAKHTUNKHWA,NA-25,PK-47
NOWSHERA,NOWSHERA,PESHAWAR,KHYBER PAKHTUNKHWA,NA-25,PK-48
NOWSHERA,NOWSHERA,PESHAWAR,KHYBER PAKHTUNKHWA,NA-26,PK-49
NOWSHERA,NOWSHERA,PESHAWAR,KHYBER PAKHTUNKHWA,NA-26,PK-50
PESHAWAR,PESHAWAR,PESHAWAR,KHYBER PAKHTUNKHWA,NA-27,PK-51
PESHAWAR,PESHAWAR,PESHAWAR,KHYBER PAKHTUNKHWA,NA-27,PK-52
PESHAWAR,PESHAWAR,PESHAWAR,KHYBER PAKHTUNKHWA,NA-28,PK-53
PESHAWAR,PESHAWAR,PESHAWAR,KHYBER PAKHTUNKHWA,NA-28,PK-54
PESHAWAR,PESHAWAR,PESHAWAR,KHYBER PAKHTUNKHWA,NA-29,PK-55
PESHAWAR,PESHAWAR,PESHAWAR,KHYBER PAKHTUNKHWA,NA-29,PK-56
PESHAWAR,PESHAWAR,PESHAWAR,KHYBER PAKHTUNKHWA,NA-30,PK-57
PESHAWAR,PESHAWAR,PESHAWAR,KHYBER PAKHTUNKHWA,NA-30,PK-58
PESHAWAR,PESHAWAR,PESHAWAR,KHYBER PAKHTUNKHWA,NA-31,PK-59
PESHAWAR,PESHAWAR,PESHAWAR,KHYBER PAKHTUNKHWA,NA-31,PK-60
KHYBER,KHYBER,PESHAWAR,KHYBER PAKHTUNKHWA,NA-32,PK-64
KHYBER,KHYBER,PESHAWAR,KHYBER PAKHTUNKHWA,NA-32,PK-65
KHYBER,KHYBER,PESHAWAR,KHYBER PAKHTUNKHWA,NA-32,PK-66
MOHMAND,MOHMAND,MALAKAND,KHYBER PAKHTUNKHWA,NA-33,PK-67
MOHMAND,MOHMAND,MALAKAND,KHYBER PAKHTUNKHWA,NA-33,PK-68
KURRAM,KURRAM,KOHAT,KHYBER PAKHTUNKHWA,NA-34,PK-69
KURRAM,KURRAM,KOHAT,KHYBER PAKHTUNKHWA,NA-34,PK-70
ORAKZAI,ORAKZAI,KOHAT,KHYBER PAKHTUNKHWA,NA-35,PK-71
KOHAT,KOHAT,KOHAT,KHYBER PAKHTUNKHWA,NA-36,PK-74
KOHAT,KOHAT,KOHAT,KHYBER PAKHTUNKHWA,NA-36,PK-75
