
#KPK

#PROVINCE,DISTRICT,PK#
KHYBER PAKHTUNKHWA,UPPER CHITRAL-CUM-LOWER CHITRAL,PK-1
KHYBER PAKHTUNKHWA,UPPER CHITRAL-CUM-LOWER CHITRAL,PK-2
KHYBER PAKHTUNKHWA,SWAT,PK-3
KHYBER PAKHTUNKHWA,SWAT,PK-4
KHYBER PAKHTUNKHWA,SWAT,PK-5
KHYBER PAKHTUNKHWA,SWAT,PK-6
KHYBER PAKHTUNKHWA,SWAT,PK-7
KHYBER PAKHTUNKHWA,SWAT,PK-8
KHYBER PAKHTUNKHWA,SWAT,PK-9
KHYBER PAKHTUNKHWA,UPPER DIR,PK-10
KHYBER PAKHTUNKHWA,UPPER DIR,PK-11
KHYBER PAKHTUNKHWA,LOWER DIR,PK-12
KHYBER PAKHTUNKHWA,LOWER DIR,PK-13
KHYBER PAKHTUNKHWA,LOWER DIR,PK-14
KHYBER PAKHTUNKHWA,LOWER DIR,PK-15
KHYBER PAKHTUNKHWA,BAJAUR,PK-16
KHYBER PAKHTUNKHWA,BAJAUR,PK-17
KHYBER PAKHTUNKHWA,MALAKAND,PK-18
KHYBER PAKHTUNKHWA,MALAKAND,PK-19
KHYBER PAKHTUNKHWA,BUNER,PK-20
KHYBER PAKHTUNKHWA,BUNER,PK-21
KHYBER PAKHTUNKHWA,SHANGLA,PK-22
KHYBER PAKHTUNKHWA,SHANGLA,PK-23
KHYBER PAKHTUNKHWA,KOHISTAN-CUM-LOWER KOHISTAN-CUM-KOLAI PALAS,PK-24
KHYBER PAKHTUNKHWA,BATTAGRAM,PK-25
KHYBER PAKHTUNKHWA,MANSEHRA,PK-26
KHYBER PAKHTUNKHWA,MANSEHRA,PK-27
KHYBER PAKHTUNKHWA,MANSEHRA-CUM-TORGHAR,PK-28
KHYBER PAKHTUNKHWA,MANSEHRA-CUM-TORGHAR,PK-29
KHYBER PAKHTUNKHWA,ABBOTTABAD,PK-30
KHYBER PAKHTUNKHWA,ABBOTTABAD,PK-31
KHYBER PAKHTUNKHWA,ABBOTTABAD,PK-32
KHYBER PAKHTUNKHWA,HARIPUR,PK-33
KHYBER PAKHTUNKHWA,HARIPUR,PK-34
KHYBER PAKHTUNKHWA,SWABI,PK-35
KHYBER PAKHTUNKHWA,SWABI,PK-36
KHYBER PAKHTUNKHWA,SWABI,PK-37
KHYBER PAKHTUNKHWA,SWABI,PK-38
KHYBER PAKHTUNKHWA,MARDAN,PK-39
KHYBER PAKHTUNKHWA,MARDAN,PK-40
KHYBER PAKHTUNKHWA,MARDAN,PK-41
KHYBER PAKHTUNKHWA,MARDAN,PK-42
KHYBER PAKHTUNKHWA,CHARSADDA,PK-43
KHYBER PAKHTUNKHWA,CHARSADDA,PK-44
KHYBER PAKHTUNKHWA,CHARSADDA,PK-45
KHYBER PAKHTUNKHWA,CHARSADDA,PK-46
KHYBER PAKHTUNKHWA,NOWSHERA,PK-47
KHYBER PAKHTUNKHWA,NOWSHERA,PK-48
KHYBER PAKHTUNKHWA,NOWSHERA,PK-49
KHYBER PAKHTUNKHWA,NOWSHERA,PK-50
KHYBER PAKHTUNKHWA,PESHAWAR,PK-51
KHYBER PAKHTUNKHWA,PESHAWAR,PK-52
KHYBER PAKHTUNKHWA,PESHAWAR,PK-53
KHYBER PAKHTUNKHWA,PESHAWAR,PK-54
KHYBER PAKHTUNKHWA,PESHAWAR,PK-55
KHYBER PAKHTUNKHWA,PESHAWAR,PK-56
KHYBER PAKHTUNKHWA,PESHAWAR,PK-57
